[2026-08-10 21:57:18,702] [WARNING] [leetcode_tracker]: GraphQL error for 'rFIIQ4f2JS': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:57:25,461] [WARNING] [leetcode_tracker]: GraphQL error for 'rFIIQ4f2JS': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:57:41,231] [WARNING] [leetcode_tracker]: Network error fetching 'DJyWNuZj4N' (Attempt 1/3): 
[2026-08-10 21:57:43,220] [WARNING] [leetcode_tracker]: Network error fetching 'SriselvanP' (Attempt 1/3): 
[2026-08-10 21:57:59,061] [WARNING] [leetcode_tracker]: Network error fetching 'DJyWNuZj4N' (Attempt 2/3): 
[2026-08-10 21:57:59,492] [WARNING] [leetcode_tracker]: Network error fetching 'SriselvanP' (Attempt 2/3): 
[2026-08-10 21:58:32,018] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'subashmurugan212'
[2026-08-10 21:58:37,341] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'suresh11092006'
[2026-08-10 21:58:50,897] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'vignesh_1112'
[2026-08-10 21:59:12,082] [WARNING] [leetcode_tracker]: GraphQL error for 'Mohammed_Affan_J': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:59:16,297] [WARNING] [leetcode_tracker]: GraphQL error for 'Mohammed_Affan_J': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:59:16,302] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Saranraj_2580'
[2026-08-10 21:59:29,165] [WARNING] [leetcode_tracker]: GraphQL error for 'LQatII0XhaQ': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:59:29,394] [WARNING] [leetcode_tracker]: GraphQL error for 'LQatII0XhaQ': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:59:45,219] [WARNING] [leetcode_tracker]: GraphQL error for 'ASHVIKAKILRAJAN': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:59:46,567] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Abi_CC004'
[2026-08-10 21:59:46,572] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'ASHVIKAKILRAJAN'
